FileType,AVAPS II Data
FileFormat,CSV
MessageType,3
Comment: This file contains raw and derived data for the AVAPS II Sonde Type specified above.
Comment: Sonde data frames are organized into data blocks ending with a <name> BLOCK error flag.
Comment: BLOCK error flag values: 0=no bit errors; 1=bit error(s); -999=block data missing.
Comment: Missing data or out of range data value flag: -999.
Comment: The Date & Time (UTC) column is formatted as an ISO-8601 string.
Labels,Data Date & Time (UTC),Data Time (sec),Frame Time (sec),Frame Type,Frame Count,FRAME BLOCK error (0-1),PTU Time (sec),RSS421 Pressure (mb),RSS421 Air Temp (C),RSS421 RH (%),RSS421 RH Temp (C),Mixing Ratio (g/Kg),Dewpoint Temp (C),Virtual Temp (C),Potential Temp (K),Equiv Potential Temp (K),PTU Vertical Velocity (m/s),Geopotential Altitude (m),PTU BLOCK error (0-1),GPS VEL Time (sec),GPS Wind Direction (deg),GPS Wind Speed (m/s),GPS U Wind (m/s),GPS V Wind (m/s),GPS W.S. Accuracy (m/s),GPS Vert Velocity (m/s),GPS MSL Altitude (m),GPS SOG (km/h),GPS COG (deg),GPS Satellites,GPS Fix Type,GPS VEL CRC-16,GPS VEL BLOCK error (0-1),GPS Longitude (deg),GPS Latitude (deg),GPS Horizontal Accuracy,GPS Vertical Accuracy,GPS POS CRC-16,GPS POS BLOCK error (0-1),Sea Surface Temp (C) ,SST (body temp) (C) ,Spare 1 (U16),Spare 2 (U16),Spare 3 (U16),Spare 4 (U16),Spare 5 (U16),Spare 6 (U16),Spare 7 (U16),PTU Module Status (U16),PTU Module Errors (U16),Parachute L.D. CDS (U16),GPS Resets Count (U8),GPS Loop Speed (U8),GPS Tracking Position (U8),MISC CRC-16,MISC BLOCK error (0-1),Sonde ID,Launch Detect Count,Battery Voltage (vdc),RSS421 Internal Temp (C),Revision Control,ENGR CRC-16,ENGR BLOCK error (0-1)
Data,2020-01-22 15:13:53.500Z,0,0,3,137,0,0,943.210754,28.064611,16.50926,31.726278,4.159639,0.342871,28.82448,306.293608,317.003453,-999,-999,1,0,212.72,192.78,104.20415,162.190084,0.13,9.05,9245.33,192.78,32.72,11,3,27791,0,-58.580829,13.838903,0.79,1.03,49886,0,0,0,0,0,0,0,0,0,0,4104,0,20114,4,0,47,52882,0,192510289,0,6.091,27.632338,16690,60389,0
Data,2020-01-22 15:13:53.750Z,0.25,0,3,137,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0.25,212.76,192.77,104.311944,162.108887,0.13,9.54,9247.57,192.77,32.76,11,3,62848,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510289,0,6.091,27.632338,16690,60389,0
Data,2020-01-22 15:13:54.000Z,0.5,0.5,3,138,0,0.5,943.116577,28.038692,16.668206,31.764164,4.193989,0.454436,28.804744,306.275999,317.076151,-999,-999,0,0.5,212.77,192.79,104.351061,162.107496,0.14,9.25,9249.89,192.79,32.77,11,3,32552,0,-58.580347,13.839635,0.79,1.03,1927,0,0,0,0,0,0,0,0,0,0,4104,0,20101,4,0,48,39483,0,192510289,0,6.091,27.632338,16690,60389,0
Data,2020-01-22 15:13:54.250Z,0.75,0.5,3,138,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0.75,212.79,192.87,104.450966,162.138313,0.26,9.32,9252.19,192.87,32.79,11,3,30094,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510289,0,6.091,27.632338,16690,60389,0
Data,2020-01-22 15:13:54.500Z,1,1,3,139,0,1,943.113892,27.985443,16.536579,31.838562,4.147663,0.301878,28.742934,306.222099,316.90094,-999,-999,0,1,212.82,192.82,104.508747,162.041582,0.27,9.36,9254.46,192.82,32.82,11,3,37132,0,-58.579865,13.840367,0.79,1.04,32255,0,0,0,0,0,0,0,0,0,0,4104,0,20085,4,0,47,2375,0,192510289,0,6.052,27.666573,16690,27764,0
Data,2020-01-22 15:13:54.750Z,1.25,1,3,139,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,1.25,212.84,192.74,104.52192,161.937877,0.19,9.04,9256.78,192.74,32.84,11,3,28785,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510289,0,6.052,27.666573,16690,27764,0
Data,2020-01-22 15:13:55.000Z,1.5,1.5,3,140,0,1.5,943.064026,27.876596,16.793933,31.894136,4.185998,0.427466,28.640783,306.116043,316.895533,-999,-999,0,1.5,212.84,192.81,104.559881,161.99669,0.19,9.53,9258.95,192.81,32.84,11,3,44983,0,-58.579382,13.841097,0.79,1.04,1088,0,0,0,0,0,0,0,0,0,0,4104,0,20069,4,0,47,44636,0,192510289,0,6.091,27.666573,16690,40781,0
Data,2020-01-22 15:13:55.250Z,1.75,1.5,3,140,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,1.75,212.88,192.78,104.656664,161.898459,0.14,9.27,9261.27,192.78,32.88,11,3,60712,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510289,0,6.091,27.666573,16690,40781,0
Data,2020-01-22 15:13:55.500Z,2,2,3,141,0,2,943.000549,27.763451,17.169257,31.96524,4.252077,0.641859,28.539357,306.006875,316.959819,-999,-999,0,2,212.9,192.76,104.702307,161.845125,0.14,9.32,9263.53,192.76,32.9,11,3,26983,0,-58.578899,13.841828,0.79,1.04,35960,0,0,0,0,0,0,0,0,0,0,4104,0,20058,4,0,47,43428,0,192510289,0,6.052,27.666573,16690,27764,0
Data,2020-01-22 15:13:55.750Z,2.25,2,3,141,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,2.25,212.94,192.77,104.820708,161.780382,0.14,9.14,9265.78,192.77,32.94,11,3,55066,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510289,0,6.052,27.666573,16690,27764,0
