AVAPS-T06 STA 231221570 240818 113818.57
AVAPS-T06 COM            UTC     UTC       Air    Air     Rel   Wind   Wind   Vert      GPS        GPS     Geopoten GPS  Sonde  Sonde GPS Wind    GPS
AVAPS-T06 COM   Sonde    Date    Time     Press   Temp   Humid  Dir    Spd    Veloc  Longitude   Latitude  Altitude Wnd   RH1    RH2  Snd Error Altitude
AVAPS-T06 COM    ID     yymmdd hhmmss.ss   (mb)  (degC)   (%)   (deg)  (m/s)  (m/s)    (deg)       (deg)      (m)   Sat   (%)    (%)  Sat (m/s)    (m)
AVAPS-T06 COM --------- ------ --------- ------- ------ ------ ------ ------ ------ ----------- ---------- -------- --- ------ ------ --- ----- --------
AVAPS-D06 P10 231221570 240818 113827.00 9999.00  99.00 999.00 178.39 244.67  -0.18  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113827.25  873.03  24.58  20.81 178.36 244.68  -0.25  -27.492579  12.037134 99999.00  13  20.81 999.00  13  0.13 13319.59
AVAPS-D06 P10 231221570 240818 113827.50 9999.00  99.00 999.00 178.33 244.67  -0.17  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113827.75  873.16  24.59  20.81 178.31 244.74  -0.38  -27.492612  12.038237 99999.00  13  20.81 999.00  13  0.13 13319.57
AVAPS-D06 P10 231221570 240818 113828.00 9999.00  99.00 999.00 178.28 244.70  -0.16  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113828.25  872.95  24.59  20.79 178.25 244.73  -0.19  -27.492645  12.039341 99999.00  13  20.79 999.00  13  0.13 13319.53
AVAPS-D06 P10 231221570 240818 113828.50 9999.00  99.00 999.00 178.23 244.74  -0.15  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113828.75  873.02  24.60  20.78 178.20 244.74  -0.17  -27.492680  12.040444 99999.00  13  20.78 999.00  13  0.13 13319.53
AVAPS-D06 P10 231221570 240818 113829.00 9999.00  99.00 999.00 178.19 244.74  -0.15  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113829.25  872.98  24.60  20.80 178.16 244.76  -0.15  -27.492715  12.041548 99999.00  13  20.80 999.00  13  0.13 13319.54
AVAPS-D06 P10 231221570 240818 113829.50 9999.00  99.00 999.00 178.14 244.78  -0.15  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113829.75  873.05  24.60  20.79 178.10 244.82  -0.19  -27.492752  12.042651 99999.00  13  20.79 999.00  13  0.13 13319.56
AVAPS-D06 P10 231221570 240818 113830.00 9999.00  99.00 999.00 178.08 244.79  -0.10  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113830.25  873.03  24.61  20.79 178.06 244.82  -0.21  -27.492789  12.043755 99999.00  13  20.79 999.00  13  0.13 13319.55
AVAPS-D06 P10 231221570 240818 113830.50 9999.00  99.00 999.00 178.03 244.81  -0.09  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.14 99999.00
AVAPS-D06 P00 231221570 240818 113830.75  873.10  24.61  20.78 178.01 244.85  -0.28  -27.492828  12.044858 99999.00  13  20.78 999.00  13  0.13 13319.54
AVAPS-D06 P10 231221570 240818 113831.00 9999.00  99.00 999.00 177.99 244.82  -0.14  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113831.25  872.85  24.61  20.78 177.96 244.86  -0.18  -27.492867  12.045962 99999.00  13  20.78 999.00  13  0.13 13319.50
AVAPS-D06 P10 231221570 240818 113831.50 9999.00  99.00 999.00 177.93 244.84  -0.09  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
