IWG1_NAMES,TIME,LATref,LONref,ALTref,GPS_GeoidHt.3,ALTPAft.d,AltRaft.1,GS.d,TAS.d,IAS.d,MACH.d,GSZref,THDGref,TRK.d,DA.d,PITCHref,ROLLref,SA.d,AA.d,TA.d,TD.c,TTMref,PS.c,PQ.c,PCAB.1,WS.d,WD.d,UWZ.d,none,none,none,none,FLID,MISSIONID,STORMID,AccZfilterI-GPS.1,AccZfilterI-GPS.2,ACCZref,AccZI-GPS.1,AccZI-GPS.2,AltBCADDU.1,ALTGA.d,AltGPS.1,AltGPS.2,AltGPS.3,AltGPS.4,AltI-GPS.1,AltI-GPS.2,ALTPA.d,AltRa.1,AltRa.2,AltRa1.c,AltRa2.c,ASfmrWS.1,ASfmrRainRate.1,ASfmrTB.1,ASfmrTB.2,ASfmrTB.3,ASfmrTB.4,ASfmrTB.5,ASfmrTB.6,COURSEcorr.d,DV.d,GPS_AltErr.3,GPS_AltErr.4,GSXref,GSYref,GPS_Quality.3,GPS_Quality.4,HT.d,HUM_ABS.d,HUM_REL.d,IASkt.d,LatGPS.1,LatGPS.2,LatGPS.3,LatGPS.4,LatI-GPS.1,LatI-GPS.2,LonGPS.1,LonGPS.2,LonGPS.3,LonGPS.4,LonI-GPS.1,LonI-GPS.2,MDSHOUR.1,MDSMINUTE.1,MDSSECOND.1,MR.d,PDALPHA.1,PDALPHA.2,PDBETA.1,PDBETA.2,PitchI-GPS.1,PitchI-GPS.2,PitchI-GPS.3,PitchI-GPS.4,PQALPHA.1,PQBETA.1,PQM.1,PQM.2,PQM.3,PQM.4,PSM.1,PSM.2,PSURF.d,PTM.1,RollI-GPS.1,RollI-GPS.2,RollI-GPS.3,RollI-GPS.4,SfmrRainRate.1,SfmrT.6,SfmrT.7,SfmrWS.1,SST.1,Salinity.1,TASkt.d,TDM.1,TDM.2,TDM.3,THdgI-GPS.1,THdgI-GPS.2,THdgI-GPS.3,THdgI-GPS.4,THETA.d,THETAE.d,THETAV.d,TRadD.1,TRadS.1,TRKdesired.d,TTM.1,TTM.2,TVIRT.d
IWG1,20200117T120700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120704,,,54.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,54.09,,,,,,,,,,,,,,,,,,,3.10,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120705,,,54.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,54.06,,,,,,,,,,,,,,,,,,,2.99,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120706,,,53.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,53.94,,,,,,,,,,,,,,,,,,,3.53,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120707,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,54.05,,,,,,,,,,,,,,,,,,,3.21,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120708,,,54.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,54.09,,,,,,,,,,,,,,,,,,,3.47,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWG1,20200117T120709,,,53.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200117I1,NONE NONE,NONE,,,,,,,,,,,53.94,,,,,,,,,,,,,,,,,,,3.10,,,,9.00,,,,,,,,13.08,,,,,,-59.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
