FileType,AVAPS II Data
FileFormat,CSV
MessageType,3
Comment: This file contains raw and derived data for the AVAPS II Sonde Type specified above.
Comment: Sonde data frames are organized into data blocks ending with a <name> BLOCK error flag.
Comment: BLOCK error flag values: 0=no bit errors; 1=bit error(s); -999=block data missing.
Comment: Missing data or out of range data value flag: -999.
Comment: The Date & Time (UTC) column is formatted as an ISO-8601 string.
Labels,Data Date & Time (UTC),Data Time (sec),Frame Time (sec),Frame Type,Frame Count,FRAME BLOCK error (0-1),PTU Time (sec),RSS421 Pressure (mb),RSS421 Air Temp (C),RSS421 RH (%),RSS421 RH Temp (C),Mixing Ratio (g/Kg),Dewpoint Temp (C),Virtual Temp (C),Potential Temp (K),Equiv Potential Temp (K),PTU Vertical Velocity (m/s),Geopotential Altitude (m),PTU BLOCK error (0-1),GPS VEL Time (sec),GPS Wind Direction (deg),GPS Wind Speed (m/s),GPS U Wind (m/s),GPS V Wind (m/s),GPS W.S. Accuracy (m/s),GPS Vert Velocity (m/s),GPS MSL Altitude (m),GPS SOG (km/h),GPS COG (deg),GPS Satellites,GPS Fix Type,GPS VEL CRC-16,GPS VEL BLOCK error (0-1),GPS Longitude (deg),GPS Latitude (deg),GPS Horizontal Accuracy,GPS Vertical Accuracy,GPS POS CRC-16,GPS POS BLOCK error (0-1),Sea Surface Temp (C) ,SST (body temp) (C) ,Spare 1 (U16),Spare 2 (U16),Spare 3 (U16),Spare 4 (U16),Spare 5 (U16),Spare 6 (U16),Spare 7 (U16),PTU Module Status (U16),PTU Module Errors (U16),Parachute L.D. CDS (U16),GPS Resets Count (U8),GPS Loop Speed (U8),GPS Tracking Position (U8),MISC CRC-16,MISC BLOCK error (0-1),Sonde ID,Launch Detect Count,Battery Voltage (vdc),RSS421 Internal Temp (C),Revision Control,ENGR CRC-16,ENGR BLOCK error (0-1)
Data,2020-01-17 14:15:17.250Z,0,0,3,156,0,0,945.290771,26.574522,19.381227,31.18136,4.46923,1.355429,27.386655,304.632534,316.14985,-999,-999,0,0,257.37,135.48,132.20171,29.623271,0.24,2.86,5702.1,135.48,77.37,10,3,42280,0,-58.465798,13.302306,0.87,1.38,48628,0,0,0,0,0,0,0,0,0,0,4104,0,16144,3,0,27,3814,0,193130663,0,5.755,27.906717,16690,43698,0
Data,2020-01-17 14:15:17.500Z,0.25,0,3,156,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0.25,257.37,135.46,132.182194,29.618898,0.24,2.79,5702.83,135.46,77.37,10,3,13880,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,193130663,0,5.755,27.906717,16690,43698,0
Data,2020-01-17 14:15:17.750Z,0.5,0.5,3,157,0,0.5,945.168091,26.576462,19.34878,31.356319,4.462793,1.333678,27.387435,304.645819,316.146661,-999,-999,0,0.5,257.37,135.42,132.143162,29.610152,0.24,2.8,5703.57,135.42,77.37,10,3,23912,0,-58.465189,13.30244,0.88,1.39,41916,0,0,0,0,0,0,0,0,0,0,4104,0,16148,3,0,27,65324,0,193130663,0,5.8,27.906717,16690,17963,0
Data,2020-01-17 14:15:18.000Z,0.75,0.5,3,157,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0.75,257.36,135.49,132.206296,29.648532,0.25,2.83,5704.32,135.49,77.36,10,3,7233,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,193130663,0,5.8,27.906717,16690,17963,0
Data,2020-01-17 14:15:18.250Z,1,1,3,158,0,1,945.152039,26.574816,19.362547,31.510078,4.46563,1.342235,27.386298,304.645627,316.153976,-999,-999,0,1,257.35,135.48,132.191362,29.669416,0.25,2.72,5705.02,135.48,77.35,10,3,20704,0,-58.464579,13.302574,0.88,1.39,631,0,0,0,0,0,0,0,0,0,0,4104,0,16140,3,0,26,47778,0,193130663,0,5.762,27.906717,16690,65206,0
Data,2020-01-17 14:15:18.500Z,1.25,1,3,158,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,1.25,257.37,135.51,132.230984,29.629831,0.24,2.74,5705.72,135.51,77.37,10,3,50759,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,193130663,0,5.762,27.906717,16690,65206,0
Data,2020-01-17 14:15:18.750Z,1.5,1.5,3,159,0,1.5,945.13324,26.576462,19.350735,31.647657,4.463413,1.335086,27.387547,304.649034,316.151625,-999,-999,0,1.5,257.36,135.54,132.255084,29.659474,0.23,2.77,5706.46,135.54,77.36,10,3,6291,0,-58.463969,13.302707,0.88,1.4,54341,0,0,0,0,0,0,0,0,0,0,4104,0,16149,3,0,26,27210,0,193130663,0,5.781,27.941095,16690,50976,0
Data,2020-01-17 14:15:19.000Z,1.75,1.5,3,159,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,1.75,257.39,135.55,132.280354,29.592404,0.23,2.78,5707.19,135.55,77.39,10,3,6859,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,193130663,0,5.781,27.941095,16690,50976,0
Data,2020-01-17 14:15:19.250Z,2,2,3,160,0,2,945.042725,26.576462,19.337394,31.772326,4.460744,1.325477,27.387064,304.657383,316.153283,-999,-999,0,2,257.36,135.55,132.264842,29.661662,0.23,2.72,5707.93,135.55,77.36,10,3,44757,0,-58.463359,13.302841,0.89,1.4,21767,0,0,0,0,0,0,0,0,0,0,4104,0,16149,3,0,27,19290,0,193130663,0,5.781,27.941095,16690,50976,0
Data,2020-01-17 14:15:19.500Z,2.25,2,3,160,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,2.25,257.37,135.57,132.289533,29.64295,0.23,2.88,5708.68,135.57,77.37,10,3,18761,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,193130663,0,5.781,27.941095,16690,50976,0
Data,2020-01-17 14:15:19.750Z,2.5,2.5,3,161,0,2.5,944.997925,26.579151,19.305965,31.867523,4.454366,1.305029,27.388607,304.66425,316.143562,-999,-999,0,2.5,257.38,135.56,132.284946,29.617676,0.21,3.01,5709.44,135.56,77.38,10,3,47973,0,-58.462749,13.302975,0.88,1.39,40105,0,0,0,0,0,0,0,0,0,0,4104,0,16148,3,0,27,65324,0,193130663,0,5.8,27.941095,16690,16531,0
Data,2020-01-17 14:15:20.000Z,2.75,2.5,3,161,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,2.75,257.38,135.61,132.333738,29.6286,0.21,3.11,5710.23,135.61,77.38,10,3,16595,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,193130663,0,5.8,27.941095,16690,16531,0
Data,2020-01-17 14:15:20.250Z,3,3,3,162,0,3,944.978699,26.576462,19.323019,31.966578,4.457708,1.315118,27.386515,304.66329,316.151445,-999,-999,0,3,257.37,135.58,132.299291,29.645136,0.21,3.05,5711.01,135.58,77.37,10,3,53922,0,-58.462139,13.303108,0.88,1.39,41795,0,0,0,0,0,0,0,0,0,0,4104,0,16143,3,0,27,18217,0,193130663,0,5.762,27.975491,16690,31321,0
Data,2020-01-17 14:15:20.500Z,3.25,3,3,162,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,3.25,257.37,135.63,132.348081,29.656069,0.21,3.01,5711.77,135.63,77.37,10,3,60522,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,193130663,0,5.762,27.975491,16690,31321,0
